OpportunityId,OpportunityName,AccountId,CloseDate,StageName,Amount,Probability,CreatedDate
0061A00000abc6QAA,Green Solutions Project,0011A00000bvc8vQAA,2023-10-30,Proposal,350000.0,70.0,2023-09-26 15:15:00.000000 UTC
0061A00000abc1QAA,Acme Corp Deal,0011A00000bvc8qQAA,2023-12-31,Proposal,500000.0,60.0,2023-09-21 09:00:00.000000 UTC
0061A00000abc4QAA,Blue Ocean Supply,0011A00000bvc8tQAA,2023-12-01,Proposal,400000.0,50.0,2023-09-24 12:45:00.000000 UTC
0061A00000abc5QAA,Tech Innovators Upgrade,0011A00000bvc8uQAA,2023-11-20,Closed Won,600000.0,100.0,2023-09-25 14:00:00.000000 UTC
0061A00000abc9QAA,Pine Valley Foods Supply,0011A00000bvc8yQAA,2023-10-25,Closed Lost,200000.0,0.0,2023-09-29 09:00:00.000000 UTC
0061A00000abc8QAA,Eagle Tech Collaboration,0011A00000bvc8xQAA,2023-11-05,Negotiation,480000.0,75.0,2023-09-28 17:45:00.000000 UTC
0061A00000abc2QAA,Global Tech Expansion,0011A00000bvc8rQAA,2023-11-30,Negotiation,750000.0,80.0,2023-09-22 10:15:00.000000 UTC
0061A00000abc3QAA,Sunrise Industries Partnership,0011A00000bvc8sQAA,2023-10-15,Prospecting,250000.0,30.0,2023-09-23 11:30:00.000000 UTC
0061A00000abc0QAA,Summit Consulting Services,0011A00000bvc8zQAA,2023-12-20,Prospecting,100000.0,20.0,2023-09-30 10:15:00.000000 UTC
0061A00000abc7QAA,Mountain Enterprises Event,0011A00000bvc8wQAA,2023-12-15,Qualification,150000.0,40.0,2023-09-27 16:30:00.000000 UTC
